symbol,pagerank,eigenvector_centrality,out_strength,in_strength
ISP.MI,0.02314406212980711,0.15762968824746282,95.85811048687238,150.79675180095413
UCG.MI,0.022535683892548657,0.16049713246921268,95.53217103519133,148.5103283687023
SAN.MC,0.0217843382698576,0.15343377129171523,95.66768972725482,141.08228203272793
BMED.MI,0.021507563541499037,0.14973919744177558,95.71600142249116,143.13608099837847
DBK.DE,0.021172301150439686,0.1472830062655451,95.5061718299498,137.65168183340072
BNP.PA,0.02026625702021946,0.15432640218534402,95.3590061109456,132.55001613989285
BARC.L,0.02003197301887701,0.15150312536317617,95.24058110406864,133.14139835696443
CABK.MC,0.020007870973849914,0.14784086119777215,95.24779315732854,126.44039663656658
BKT.MC,0.01985613682386945,0.14751679598790235,95.19415229895796,127.3535753689515
INGA.AS,0.01985387164462035,0.14227069022570915,95.3915222616874,127.41343591862942
BBVA.MC,0.019737900712054675,0.1514948630579171,95.25456368309652,126.92140192824704
KBC.BR,0.019634813809873735,0.13390482093811026,95.21121245287962,128.51392352850377
BPSO.MI,0.019583788221942032,0.14288439187207724,95.11485082405471,125.30684104686736
BAMI.MI,0.019536107743354097,0.14362442759436633,94.967265324287,126.04455075357846
SAB.MC,0.019296318789882777,0.1491465196826943,95.11549722179772,123.65417400240092
FBK.MI,0.018954025924979728,0.14076037775229433,94.97036240613456,123.82375840143678
BPE.MI,0.018415744179700006,0.1398964364770502,94.39709114811131,115.93662361001942
GLE.PA,0.018267692844931346,0.1367981985557212,94.63399688030152,117.35050530331884
SEB-A.ST,0.017968706757869428,0.13687869644111555,94.74350567521516,118.97625720458348
DANSKE.CO,0.017707870685156717,0.1354444441896575,94.81957404342955,115.53403997829244
EBS.VI,0.01716611117836866,0.1329547986384401,94.47487658850282,106.88841474691034
MBK.WA,0.01708919385304298,0.13121060502038295,94.48592268064364,108.7721249850417
JYSK.CO,0.01697348876733035,0.13059104792140977,94.1675373005263,113.13333521555056
SYDB.CO,0.016608316777291122,0.1275759374849001,94.13771509124616,107.94789693931313
PEO.WA,0.01657862449559243,0.12810959558017143,94.21440975443048,107.24278081374447
A5G.IR,0.01652569332734221,0.13100870758281663,94.1577562899346,101.98169573515725
MB.MI,0.016306442110597744,0.12700697906717007,94.1255650094768,101.59961259627283
SWED-A.ST,0.016296239053056726,0.12707125734639707,94.32109869477031,104.03904499708982
BCP.LS,0.01628951821259445,0.13168146473338244,93.92063811758348,101.31866078091348
ACA.PA,0.016270302875983654,0.12837339223543628,94.33889401420952,99.27136392958224
RBI.VI,0.016124045796491127,0.13164034648916162,94.04496494872446,103.66733910838371
HSBA.L,0.015957852052586104,0.12345277317820579,93.58044256011569,102.54634110326016
BIRG.IR,0.01563837263508816,0.1271860709266508,94.02073761014564,97.44588595254248
PKO.WA,0.015288133862450533,0.11802956787820432,93.62735617950224,97.06036420760698
NDA-SE.ST,0.015048589770022124,0.12681058162452624,93.8378945095598,93.74346374109776
NWG.L,0.015038660870962728,0.11841126122693557,93.63165442698082,95.18459894426472
ABN.AS,0.014981783976615804,0.13120876371208107,94.0076282291733,92.97603898288668
BMPS.MI,0.014871116230864932,0.11806449840686428,93.45717053603258,90.648888180841
ALR.WA,0.01472316738927702,0.11505783529810698,93.43920661954704,92.19700152842424
SPL.WA,0.014644607837847063,0.11414614579758656,93.52671145664438,92.03769735071832
UBSG.SW,0.014531034312781552,0.12609562316700015,93.23032006838817,93.8144633469138
BAER.SW,0.01451307612771928,0.1259948611134241,93.12141330203274,93.47135703998504
STAN.L,0.014315664164206487,0.11181529227311945,92.60036552349663,89.89699471222079
EFGN.SW,0.014221893501824762,0.12501061776453093,93.20824292658811,90.77984086264668
MIL.WA,0.01369515265729776,0.1078198023057274,92.9824940990826,84.70155852486151
EUROB.AT,0.012709531718228327,0.09605576914490345,92.71437176858876,83.27077210950665
LLOY.L,0.012582307411068059,0.09385192829029053,91.96574360719316,83.9533560231187
ING.WA,0.01234260610567418,0.10304617704048014,91.7735952488845,75.00544202475635
DNB.OL,0.011900081721884004,0.09820322063378986,91.66423835678448,74.19992681929463
INVP.L,0.011887557942019115,0.120666789573742,91.28925365621248,73.59259673143512
CBK.DE,0.011514027379347227,0.10116276440937425,90.95034354591232,66.18050665646932
TPEIR.AT,0.011038323858315012,0.08342324157149936,91.97433875491124,68.6231712375178
KOMB.PR,0.010877650323722215,0.12459860343916945,92.0144758448441,64.88360337622122
VLK.AS,0.010110600418214787,0.11807130241743004,90.26945677564652,59.8367064951776
SHB-A.ST,0.009800558541148075,0.07153679254827758,90.02143417463404,56.29353664074747
MING.OL,0.009501300123591804,0.06831966842490414,89.26282459316967,59.3891596936118
VONN.SW,0.009435531190588979,0.06751595049547898,88.71498880196495,59.07179972579108
OSB.L,0.009419937406917803,0.10765651849581842,89.28087455566059,57.63043881395502
NONG.OL,0.009342880989494887,0.06700231063101407,88.24022473745916,56.574469500203215
ETE.AT,0.009279289304320683,0.06600157136615159,89.99087574908253,56.86251588241053
BCVN.SW,0.008217447107804698,0.10926155691117614,87.99808783245112,46.86692642336431
PBB.DE,0.008213801604963124,0.10919277695129039,86.34442446530916,42.5285332980737
CMBN.SW,0.007873832850801597,0.0536866614015548,86.80405198180847,46.4848682685077
TLV.RO,0.005715975745807211,0.030250537545337797,83.0778536856387,32.481864803562054
PTSB.IR,0.00471944386596798,0.09220045886235884,70.28601571226818,20.13458515258508
STB.L,0.004368493575473153,0.027049143093032246,66.90023091833221,21.1804823516805
BCGE.SW,0.003800192638428882,0.10387313684618024,76.93151125381804,12.368321567612972
CBG.L,0.003250895726206307,0.009317742861686412,58.6318879116173,10.928652239385109
BRD.RO,0.0031376224774434572,0.008277929171961072,65.00881009535257,9.86502628530323
