symbol,dst,weight
MB.MI,ISP.MI,2.820553504236267
CABK.MC,BBVA.MC,2.809179224821863
VLK.AS,BMED.MI,2.806482405359946
ACA.PA,GLE.PA,2.8037048668430904
BMED.MI,FBK.MI,2.793204230656293
NWG.L,LLOY.L,2.7894885725850225
ISP.MI,BPSO.MI,2.788711352023134
NDA-SE.ST,ISP.MI,2.773914676657409
MB.MI,BMED.MI,2.769881173416045
INVP.L,STAN.L,2.7669709250921595
UCG.MI,BNP.PA,2.766023905242751
OSB.L,LLOY.L,2.764277823728698
MB.MI,BPSO.MI,2.744397471925872
SAB.MC,BKT.MC,2.7442778877211778
GLE.PA,BNP.PA,2.7438586076173177
STAN.L,ISP.MI,2.739511173106845
EFGN.SW,BARC.L,2.73950511843354
BAMI.MI,ISP.MI,2.739041786992265
SWED-A.ST,NDA-SE.ST,2.7338067730933724
VONN.SW,BMED.MI,2.7293418292964104
PBB.DE,BNP.PA,2.7258335107166896
EBS.VI,DBK.DE,2.709202770468027
BIRG.IR,SAB.MC,2.703968420942701
BPE.MI,BMPS.MI,2.702392216253234
BCP.LS,EBS.VI,2.7012478145770618
BKT.MC,SAB.MC,2.6984332248385816
MB.MI,UCG.MI,2.693416055385565
BPE.MI,SAN.MC,2.69288609083541
STAN.L,DBK.DE,2.692678459439469
BAMI.MI,SAN.MC,2.691953461816725
BAER.SW,BARC.L,2.688940288139203
DNB.OL,NONG.OL,2.6857638850632224
ISP.MI,BPE.MI,2.682278504060915
BAMI.MI,BBVA.MC,2.6705826538375605
SHB-A.ST,DANSKE.CO,2.668069211703184
BMED.MI,UCG.MI,2.6661437532994894
BAMI.MI,SAB.MC,2.662810580197571
BCP.LS,GLE.PA,2.661567072474348
EFGN.SW,BAER.SW,2.660018229121289
FBK.MI,ISP.MI,2.65772559289211
GLE.PA,ISP.MI,2.6541716613775974
DNB.OL,SEB-A.ST,2.652969198011698
BNP.PA,SAN.MC,2.6482553850680954
CBG.L,ETE.AT,2.646099873898291
PBB.DE,UCG.MI,2.6454433986571853
STAN.L,BAER.SW,2.645203109947832
UCG.MI,BPSO.MI,2.64334665711107
BKT.MC,SAN.MC,2.640322024352246
VLK.AS,DBK.DE,2.638996894061848
BIRG.IR,BKT.MC,2.6347075508030797
SPL.WA,ING.WA,2.6345930701246902
BMPS.MI,BMED.MI,2.6322861078182087
VLK.AS,FBK.MI,2.6319349808480963
MBK.WA,ING.WA,2.6272727032835346
SAB.MC,BAMI.MI,2.62574412753201
INVP.L,SAN.MC,2.62442599752076
BPE.MI,SAB.MC,2.6200854397454774
MB.MI,BAMI.MI,2.611207293788943
BIRG.IR,BBVA.MC,2.60846792785818
UBSG.SW,BAER.SW,2.6061814184054177
SAN.MC,CABK.MC,2.6059690409736125
UCG.MI,BPE.MI,2.60541570233056
BCP.LS,BKT.MC,2.603285325643391
VONN.SW,FBK.MI,2.602086723426522
BCP.LS,CABK.MC,2.601564300021195
BAMI.MI,UCG.MI,2.60151687004282
BMED.MI,ISP.MI,2.596887225516799
VLK.AS,BARC.L,2.5959530573624767
DBK.DE,ISP.MI,2.589998624724261
SHB-A.ST,JYSK.CO,2.589820668555945
CBK.DE,SAB.MC,2.588735471934834
CBK.DE,BNP.PA,2.5886671852345504
SAN.MC,ISP.MI,2.5882397874541234
BPE.MI,CABK.MC,2.588006967748313
BIRG.IR,INGA.AS,2.5865602246932493
BCVN.SW,CMBN.SW,2.584304737572324
ABN.AS,INGA.AS,2.5813372370828063
BKT.MC,DBK.DE,2.5800683425488087
MB.MI,BPE.MI,2.579849461789769
BKT.MC,ISP.MI,2.579289948211336
INGA.AS,UCG.MI,2.579195980302935
SHB-A.ST,NDA-SE.ST,2.575735086227883
BKT.MC,BBVA.MC,2.575683568353469
RBI.VI,KBC.BR,2.5734219100599454
HSBA.L,DBK.DE,2.5687389500109123
CBK.DE,SAN.MC,2.567987921961125
RBI.VI,BAER.SW,2.5677570869962087
SWED-A.ST,DANSKE.CO,2.566484416652313
ISP.MI,CABK.MC,2.5652038175163443
BBVA.MC,BAMI.MI,2.5635040748768443
EFGN.SW,BMED.MI,2.5610017073079594
BBVA.MC,BKT.MC,2.5590263964309643
STAN.L,UBSG.SW,2.557845760675554
UCG.MI,BMED.MI,2.556593302245538
ABN.AS,SAN.MC,2.5529843595720085
EBS.VI,BBVA.MC,2.552683690902693
ISP.MI,BNP.PA,2.5506562548231724
ABN.AS,ISP.MI,2.5502683796799506
PEO.WA,ING.WA,2.5490889835407047
BARC.L,DBK.DE,2.5464673200600565
EBS.VI,BCP.LS,2.5459690890948825
UCG.MI,CABK.MC,2.545197221580132
CBK.DE,BBVA.MC,2.543802320422637
SEB-A.ST,DBK.DE,2.543154295548257
CABK.MC,A5G.IR,2.542469864999956
VONN.SW,EFGN.SW,2.541226254933378
BCP.LS,ISP.MI,2.53822360465604
BCVN.SW,INGA.AS,2.536344603512346
BNP.PA,BMED.MI,2.534335217739515
BAER.SW,STAN.L,2.5341984260235444
SAB.MC,UCG.MI,2.531515590637327
FBK.MI,UCG.MI,2.52451807083148
ACA.PA,CABK.MC,2.518411547448727
NDA-SE.ST,DBK.DE,2.5166561547102724
EBS.VI,KBC.BR,2.5095801003067275
SAB.MC,ISP.MI,2.5093659571303912
INGA.AS,BNP.PA,2.5079357942478806
BCP.LS,UCG.MI,2.5060333866157607
GLE.PA,ACA.PA,2.504568052715499
UBSG.SW,HSBA.L,2.504332997292369
BPSO.MI,BMED.MI,2.502323901047118
BMPS.MI,BNP.PA,2.5016997552809648
BNP.PA,INGA.AS,2.50073792637842
