timestamp,symbol,reason,coverage,span_years
2025-11-04 20:23:47,ISB.IC,history<5.0y & coverage<90%,38.46,4.34
2025-11-04 20:23:47,TRIO.AS,history<5.0y & coverage<90%,3.27,0.35
2025-11-04 20:23:47,ADKO.VI,coverage<90%,56.78,6.28
2025-11-04 20:23:47,ARION.IC,coverage<90%,65.07,7.35
2025-11-04 20:23:47,BG.VI,coverage<90%,71.82,7.99
2025-11-04 20:23:47,MONET.PR,coverage<90%,78.26,8.77
2025-11-04 20:23:47,MTRO.L,coverage<90%,86.59,9.63
2025-11-04 20:23:47,UNI.MC,coverage<90%,75.67,8.31
2025-11-04 20:28:08,ALPHA.AT,history<5.0y & coverage<90%,2.88,0.31
2025-11-04 20:28:08,ISB.IC,history<5.0y & coverage<90%,38.46,4.34
2025-11-04 20:28:08,TRIO.AS,history<5.0y & coverage<90%,3.27,0.35
2025-11-04 20:28:08,ADKO.VI,coverage<90%,56.78,6.28
2025-11-04 20:28:08,ARION.IC,coverage<90%,65.07,7.35
2025-11-04 20:28:08,BG.VI,coverage<90%,71.82,7.99
2025-11-04 20:28:08,MONET.PR,coverage<90%,78.26,8.77
2025-11-04 20:28:08,MTRO.L,coverage<90%,86.59,9.63
2025-11-04 20:28:08,UNI.MC,coverage<90%,75.67,8.31
2025-11-04 20:38:34,ALPHA.AT,history<5.0y & coverage<90%,2.88,0.31
2025-11-04 20:38:34,ISB.IC,history<5.0y & coverage<90%,38.46,4.34
2025-11-04 20:38:34,TRIO.AS,history<5.0y & coverage<90%,3.27,0.35
2025-11-04 20:38:34,ADKO.VI,coverage<90%,56.78,6.28
2025-11-04 20:38:34,ARION.IC,coverage<90%,65.07,7.35
2025-11-04 20:38:34,BG.VI,coverage<90%,71.82,7.99
2025-11-04 20:38:34,MONET.PR,coverage<90%,78.26,8.77
2025-11-04 20:38:34,MTRO.L,coverage<90%,86.59,9.63
2025-11-04 20:38:34,UNI.MC,coverage<90%,75.67,8.31
2025-11-04 20:43:11,ALPHA.AT,history<5.0y & coverage<90%,2.88,0.31
2025-11-04 20:43:11,ISB.IC,history<5.0y & coverage<90%,38.46,4.34
2025-11-04 20:43:11,TRIO.AS,history<5.0y & coverage<90%,3.27,0.35
2025-11-04 20:43:11,ADKO.VI,coverage<90%,56.78,6.28
2025-11-04 20:43:11,ARION.IC,coverage<90%,65.07,7.35
2025-11-04 20:43:11,BG.VI,coverage<90%,71.82,7.99
2025-11-04 20:43:11,MONET.PR,coverage<90%,78.26,8.77
2025-11-04 20:43:11,MTRO.L,coverage<90%,86.59,9.63
2025-11-04 20:43:11,UNI.MC,coverage<90%,75.67,8.31
2025-11-04 23:19:51,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-04 23:19:51,ISB.IC,history<5.0y & coverage<90%,38.59,4.36
2025-11-04 23:19:51,TRIO.AS,history<5.0y & coverage<90%,3.48,0.38
2025-11-04 23:19:51,ADKO.VI,coverage<90%,56.87,6.31
2025-11-04 23:19:51,ARION.IC,coverage<90%,65.14,7.38
2025-11-04 23:19:51,BG.VI,coverage<90%,71.88,8.02
2025-11-04 23:19:51,MONET.PR,coverage<90%,78.27,8.79
2025-11-04 23:19:51,MTRO.L,coverage<90%,86.62,9.66
2025-11-04 23:19:51,UNI.MC,coverage<90%,75.72,8.34
2025-11-04 23:25:51,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-04 23:25:51,ISB.IC,history<5.0y & coverage<90%,38.59,4.36
2025-11-04 23:25:51,TRIO.AS,history<5.0y & coverage<90%,3.48,0.38
2025-11-04 23:25:51,ADKO.VI,coverage<90%,56.87,6.31
2025-11-04 23:25:51,ARION.IC,coverage<90%,65.14,7.38
2025-11-04 23:25:51,BG.VI,coverage<90%,71.88,8.02
2025-11-04 23:25:51,MONET.PR,coverage<90%,78.27,8.79
2025-11-04 23:25:51,MTRO.L,coverage<90%,86.62,9.66
2025-11-04 23:25:51,UNI.MC,coverage<90%,75.72,8.34
2025-11-04 23:26:36,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-04 23:26:36,ISB.IC,history<5.0y & coverage<90%,38.59,4.36
2025-11-04 23:26:36,TRIO.AS,history<5.0y & coverage<90%,3.48,0.38
2025-11-04 23:26:36,ADKO.VI,coverage<90%,56.87,6.31
2025-11-04 23:26:36,ARION.IC,coverage<90%,65.14,7.38
2025-11-04 23:26:36,BG.VI,coverage<90%,71.88,8.02
2025-11-04 23:26:36,MONET.PR,coverage<90%,78.27,8.79
2025-11-04 23:26:36,MTRO.L,coverage<90%,86.62,9.66
2025-11-04 23:26:36,UNI.MC,coverage<90%,75.72,8.34
2025-11-04 23:26:43,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-04 23:26:43,ISB.IC,history<5.0y & coverage<90%,38.59,4.36
2025-11-04 23:26:43,TRIO.AS,history<5.0y & coverage<90%,3.48,0.38
2025-11-04 23:26:43,ADKO.VI,coverage<90%,56.87,6.31
2025-11-04 23:26:43,ARION.IC,coverage<90%,65.14,7.38
2025-11-04 23:26:43,BG.VI,coverage<90%,71.88,8.02
2025-11-04 23:26:43,MONET.PR,coverage<90%,78.27,8.79
2025-11-04 23:26:43,MTRO.L,coverage<90%,86.62,9.66
2025-11-04 23:26:43,UNI.MC,coverage<90%,75.72,8.34
2025-11-04 23:28:35,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-04 23:28:35,ISB.IC,history<5.0y & coverage<90%,38.59,4.36
2025-11-04 23:28:35,TRIO.AS,history<5.0y & coverage<90%,3.48,0.38
2025-11-04 23:28:35,ADKO.VI,coverage<90%,56.87,6.31
2025-11-04 23:28:35,ARION.IC,coverage<90%,65.14,7.38
2025-11-04 23:28:35,BG.VI,coverage<90%,71.88,8.02
2025-11-04 23:28:35,MONET.PR,coverage<90%,78.27,8.79
2025-11-04 23:28:35,MTRO.L,coverage<90%,86.62,9.66
2025-11-04 23:28:35,UNI.MC,coverage<90%,75.72,8.34
2025-11-05 15:20:09,ALPHA.AT,history<5.0y & coverage<90%,3.05,0.34
2025-11-05 15:20:09,ISB.IC,history<5.0y & coverage<90%,38.57,4.36
2025-11-05 15:20:09,TRIO.AS,history<5.0y & coverage<90%,3.51,0.38
2025-11-05 15:20:09,ADKO.VI,coverage<90%,56.85,6.31
2025-11-05 15:20:09,ARION.IC,coverage<90%,65.12,7.38
2025-11-05 15:20:09,BG.VI,coverage<90%,71.86,8.02
